REF.,DESCRIÇÃO,Grupo,Sub Grupo,Marca/ Fornec,Cor,Tamanho,Un,CUSTO,Unitário,ETIQ.,TIPO,,,,STATUS_DOWNLOAD,QTD_IMAGENS
1189,PHER PERFUME AEROSOL,SEXSHOP,SEX/ COSM,,PADRÃO,PADRÃO,Un,"R$8,97"," R$ 35,00 ", SIM, ADESIVA,,,,OK,5
1190,VIBRADOR JELLY DUPLO,SEXSHOP,SEX/ PLUG,,PADRÃO,PADRÃO,Un,"R$21,97"," R$ 80,00 ", SIM, ADESIVA,,,,OK,5
1192,CALCA FITNESS POLIAMIDA,VESTUARIO,VEST/ FEM,THIAGO/ IMP,PADRÃO,M/ G/ GG,Un,"R$30,00"," R$ 90,00 ", SIM, ADESIVA,,,,OK,5
1193,BERMUDA FITNESS POLIAMIDA,VESTUARIO,VEST/ FEM,THIAGO/ IMP,PADRÃO,M/ G/ GG,Un,"R$25,00"," R$ 75,00 ", SIM, ADESIVA,,,,OK,5
1195,PANO COPA BORDAR,ENXOVAL,MESA,CAMPESTRE,PADRÃO,PADRÃO,Un,"R$5,64"," R$ 16,90 ", SIM, TAG,,,,OK,5
1196,PROMO LENÇOL CASAL REALCE,ENXOVAL,CAMA,SULTAN,PADRÃO,PADRÃO,3 Pçs,"R$32,17"," R$ 90,00 ", SIM, ADESIVA,,,,OK,5
1197,PROMO LENÇOL QUEEN REALCE,ENXOVAL,CAMA,SULTAN,PADRÃO,PADRÃO,3 Pçs,"R$37,76"," R$ 105,00 ", SIM, ADESIVA,,,,OK,5
1198,PROMO SHORT MASCULINO,VESTUARIO,VEST/MASC,AVILA,PADRÃO,P/ M/ G/ GG,UN,"R$19,00"," R$ 54,00 ", SIM, ADESIVA,,,,OK,5
1200,COBRE LEITO 3 PCS - CASAL rolo,ENXOVAL,CAMA,SULTAN,PADRÃO,PADRÃO,3 Pçs,"R$41,78"," R$ 125,00 ", SIM, ADESIVA,,,,OK,5
1201,PROMO KIT  SALÃO CASA,COSMETICO,COSM/CAPIILAR,RHENUKS,PADRÃO,PADRÃO,Un,"R$20,00"," R$ 76,00 ", SIM, ADESIVA,,,,OK,5
1202,CREME CORPORAL SKALA,COSMETICO,COSM/HIDRATANTE,SKALA,PADRÃO,PADRÃO,Un,"R$5,89","R$ 24,00", SIM, ADESIVA,,,,OK,5
1203,KIT ROSA MOSQUETA C/3 ITENS,COSMETICO,COSM/HIDRATANTE, ,PADRÃO,PADRÃO,Un,"R$10,00"," R$ 40,00 ", SIM , ADESIVA,,,,OK,5
1204,PE LOÇÃO MILAGROSA 30ML,COSMETICO,COSM/HIDRATANTE,BIO INSTINTO,PADRÃO,PADRÃO,Un,"R$3,00"," R$ 12,00 ", SIM , ADESIVA,,,,OK,5
1205,KIT PE MILAGROSO,COSMETICO,COSM/HIDRATANTE,,PADRÃO,PADRÃO,Un,"R$8,89"," R$ 36,00 ", SIM , ADESIVA,,,,OK,5
1206,PROMO KIT CAPILAR,COSMETICO,COSM/CAPIILAR,,PADRÃO,PADRÃO,Un,"R$16,00","R$ 56,00", SIM, ADESIVA,,,,OK,5
1207,COBRE LEITO 3 PCS - QUEEN rolo,ENXOVAL,CAMA,SULTAN,PADRÃO,PADRÃO,3 Pçs,"R$46,43"," R$ 140,00 ", SIM, ADESIVA,,,,OK,5
1209,SUPER PROMO LENÇOL CASAL,ENXOVAL,CAMA, PRIMOS,PADRÃO,CASAL,Un,"R$23,00"," R$ 75,00 ", SIM, ADESIVA,,,,OK,5
1210,SUPER PROMO LENÇOL QUEEN,ENXOVAL,CAMA,PRIMOS,PADRÃO,QUEEN,Un,"R$25,00"," R$ 80,00 ", SIM, ADESIVA,,,,OK,5
1211,KIT 6 PANO PRATO,ENXOVAL,MESA,PRIMOS,PADRÃO,PADRÃO,6 Pçs,"R$10,50"," R$ 30,00 ", SIM, ADESIVA,,,,OK,5
1212,KIT 5 PANO PRATO,ENXOVAL,MESA,PRIMOS,PADRÃO,PADRÃO,5 Pçs,"R$8,75"," R$ 25,00 ", SIM, ADESIVA,,,,OK,5
1233,BEIJO HOT BRILHO LABIAL,SEXSHOP,SEX/COSM,GARJI,PADRÃO,PADRÃO,Un,"R$5,55"," R$ 20,00 ", SIM, ADESIVA,,,,OK,5
1234,K-MED GEL LUBRIFICANTE,SEXSHOP,SEX/COSM,CIMED,PADRÃO,PADRÃO,Un,"R$7,81"," R$ 20,00 ", SIM, ADESIVA,,,,PARCIAL,2
1235,BODY MINI FANTASIA,SEXSHOP,SEX/FANTASIA,PIMENTA SEXY,PADRÃO,PADRÃO,CJ,"R$16,97"," R$ 60,00 ", SIM, ADESIVA,,,,OK,5
1236,BOLINHAS MAGICAS SABOROSAS,SEXSHOP,SEX/COSM,FOR SEXY,PADRÃO,PADRÃO,PC,"R$2,91"," R$ 10,00 ", SIM, ADESIVA,,,,OK,5
1237,EXCITA PIRIQUITA ASSANHADA ,SEXSHOP,SEX/COSM,HOT FLOWERS,PADRÃO,PADRÃO,Un,"R$7,13"," R$ 28,00 ", SIM, ADESIVA,,,,OK,5
1238,TOTAL VIRGEM,SEXSHOP,SEX/COSM,HOT FLOWERS,PADRÃO ,PADRÃO,Un,"R$7,18"," R$ 28,00 ", SIM, ADESIVA,,,,OK,5
1239,MAMA TETA GEL,SEXSHOP,SEX/COSM,HOT FLOWERS,PADRÃO ,PADRÃO,Un,"R$7,78"," R$ 28,00 ", SIM, ADESIVA,,,,OK,5
1240,PENIS VIBRADOR MULTI,SEXSHOP,PENIS VIBRO,VIPMIX,PADRÃO ,PADRÃO,Un,"R$23,78"," R$ 90,00 ", SIM, ADESIVA,,,,OK,5
1241,OLEO CORPORAL APIDERM,SEXSHOP,SEX/MASSAGEM,APINIL,PADRÃO ,PADRÃO,Un,"R$11,63"," R$ 45,00 ", SIM, ADESIVA,,,,OK,5
1242,GLOSS LABIAL CHAVEIRINHO,COSMESTICO,COSM/LABIAL,LUCKY ,PADRÃO ,PADRÃO,Un,"R$8,07"," R$ 32,00 ", SIM, ADESIVA,,,,OK,5
1243,GLOSS LABIAL,COSMESTICO,COSM/LABIAL,LUCKY ,PADRÃO ,PADRÃO,Un,"R$6,13"," R$ 25,00 ", SIM, ADESIVA,,,,OK,5
1244,KIT BOTOX NO CHUVEIRO,COSMESTICO,COSM/CAPIILAR,RHENUKS,PADRÃO ,PADRÃO,KIT,"R$20,00"," R$ 80,00 ", SIM, ADESIVA,,,,OK,5
1245,KIT MIKOZIU,COSMESTICO,COSM/HIGIENE,,PADRÃO ,PADRÃO,KIT,"R$10,00"," R$ 40,00 ", SIM, ADESIVA,,,,OK,5
1246,TOP NADADOR FITNESS,VESTUÁRIO,VEST/FEM,,PADRÃO,GG,Un,," R$ 28,00 ",,,,,,OK,5
1247,CONJ FITNESS CANELADO,VESTUÁRIO,VEST/FEM,SANTA RITA,PADRÃO,M/GG,CJ,"R$30,00"," R$ 90,00 ", SIM, ADESIVA,,,,OK,5
1248,KIT TAPETE COZINHA 3 PCS,ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Un,"R$32,79"," R$ 98,00 ", SIM , ADESIVA,,,,OK,5
1249,"TAPETE PICASSO 1,0X1,40 - P",ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Un,"R$32,79"," R$ 98,00 ", SIM , TAG,,,,OK,5
1250,"TAPETE PICASSO 1,4X2,0 - M",ENXOVAL,TAPETE,Sultan,PADRÃO,PADRÃO,Un,"R$66,94"," R$ 98,00 ", SIM , TAG,,,,OK,5
