REF.,DESCRIÇÃO,Grupo,Sub Grupo,Marca/ Fornec,Cor,Tamanho,Un,CUSTO,Unitário,ETIQ.,TIPO,,,,STATUS_DOWNLOAD,QTD_IMAGENS
1048,TOALHA MESA TERMICA,ENXOVAL,MESA,Campestre,ESTAMPADO,4 CADEIRAS,,,, SIM, ADESIVA,,,,OK,5
,,,,,,6 CADEIRAS,Un,"R$12,00"," R$ 35,00 ", SIM, ADESIVA,,,
1049,TOALHA MESA RENDA ,ENXOVAL,MESA,Campestre,LISO,REDONDA,Un,"R$20,90"," R$ 60,00 ", SIM, ADESIVA,,,,OK,5
,,,,,,4 CADEIRAS,Un,"R$20,90"," R$ 60,00 ", SIM, ADESIVA,,,
,,,,,,6 CADEIRAS,Un,"R$23,90"," R$ 70,00 ", SIM, ADESIVA,,,
1050,TOALHA ROSTO BRILHANTE,ENXOVAL,BANHO,Campestre,LISO,PADRÃO,Un,"R$6,80"," R$ 20,00 ", SIM, TAG,,,,OK,5
1051,Blow Girl Hidratante Virilha,SEXSHOP,SEX/HIDRATANTE,Hot Flowers, , , ,"R$20,90"," R$ 60,00 ", NÃO,,,,,OK,5
1052,Sebo Carneiro Pé Mão e Joelho,COSMETICO,COSM/HIDRATANTE,,PADRÃO,PADRÃO,Un,"R$4,00","R$ 18,90", SIM, ADESIVA,,,,OK,5
1055,Esfoliante corpo e rosto,COSMETICO,COSM/ESFOLIACAO,APINIL,PADRÃO,PADRÃO,Un,"R$7,00","R$ 28,00", SIM, ADESIVA,,,,OK,5
1056,Fisiodor Pomada Muscular,COSMETICO,COSM/MASSAGEM,Luvik do Brasil,,,Un,"R$4,17","R$ 16,90", NÃO, ADESIVA,,,,OK,5
1057,Gel 17 ervas para massagem,COSMETICO,COSM/MASSAGEM,Bell corpus,,,Un,"R$3,50","R$ 16,90", NÃO,,,,,PARCIAL,4
1060,Gloss Labial Babaloo,SEXSHOP/ COSMETICO,SEX/LABIAL,Hot Flowers,,,Un,"R$10,50","R$ 40,00", SIM, ADESIVA,,,,OK,5
1061,Hidratante  Bisnaga,COSMETICO,COSM/HIDRATANTE, ,,,Un,"R$5,50","R$ 26,00", SIM, ADESIVA,,,,OK,5
1062,Hidratante  Pump,COSMETICO,COSM/HIDRATANTE,,,,Un,"R$7,50","R$ 30,00", SIM, ADESIVA,,,,OK,5
1063,Kit Capilar 4 em 1 ,COSMETICO,COSM/CAPIILAR,,,,Un,"R$7,50","R$ 65,00", SIM, ADESIVA,,,,OK,5
1064,Óleo Capilar Nutri Hidrata,COSMETICO,COSM/CAPIILAR,,,,Un,"R$10,00","R$ 39,90", SIM, ADESIVA,,,,OK,5
1065,OLEO Corporal de Massagem,SEXSHOP/ COSMETICO,SEX/MASSAGEM,,,,Un,"R$10,00","R$ 40,00", SIM, ADESIVA,,,,OK,5
1066,OLEO ROSA FACIAL CORPORAL,COSMETICO,COSM/MASSAGEM,APINIL,,,Un,"R$6,00","R$ 25,00", SIM, ADESIVA,,,,OK,5
1067,Sabonete Íntimo,COSMETICO,COSM/HIGIENE,Bio Instinto,,,Un,"R$3,30","R$ 15,00", SIM, ADESIVA,,,,PARCIAL,2
1068,Tônico capilar Antiqueda,COSMETICO,COSM/CAPIILAR,Bio Instinto,,,Un,"R$7,00","R$ 28,00", NÃO,,,,,OK,5
1069,FRONHA P.A (PAR),ENXOVAL,CAMA,Campestre,LISO/ ESTAMPADO/PADRÃO,PADRÃO,Par,"R$7,60"," R$ 30,00 ", SIM, TAG,,,,OK,5
1071,TAPETE PVC,ENXOVAL,TAPETE,Campestre,ESTAMPADO,PADRÃO,Un,"R$13,50"," R$ 40,00 ", SIM, ADESIVA,,,,OK,5
1074,Perfume de Calcinha,SEXSHOP/ COSMETICO,COSM/PERFUMARIA,APINIL,,,Un,"R$4,50"," R$ 20,00 ", SIM, ADESIVA,,,,OK,5
1075,Pomada Canela de Velho,COSMETICO,COSM/MASSAGEM,Bio Instinto,,,Un,"R$6,00"," R$ 25,00 ", NÃO,,,,,PARCIAL,3
1076,LENCOL 3 PCS - CASAL,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,3 Pçs,"R$41,00"," R$ 115,00 ", SIM, ADESIVA,,,,OK,5
1077,LENCOL 3 PCS - QUEEN,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,3 Pçs,"R$44,00"," R$ 125,00 ", SIM, ADESIVA,,,,OK,5
1078,LENCOL 3 PCS - KING,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,3 Pçs,"R$47,00"," R$ 150,00 ", SIM, ADESIVA,,,,OK,5
1079,CAPA COLCHÃO SOLTEIRO,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,Un,"R$19,50"," R$ 60,00 ", SIM, ADESIVA,,,,OK,5
1080,CAPA COLCHÃO CASAL,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,Un,"R$25,50"," R$ 80,00 ", SIM, ADESIVA,,,,OK,5
1081,COBRE LEITO 3 PCS - CASAL,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,3 Pçs,"R$55,00"," R$ 160,00 ", SIM, ADESIVA,,,,OK,5
1082,COBRE LEITO 3 PCS - QUEEN,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,3 Pçs,"R$65,00"," R$ 180,00 ", SIM, ADESIVA,,,,OK,5
1084,SHORT FEMININO,VESTUARIO,VEST/ FEM,Campestre,PADRÃO,P/ M/ G/ GG/ G1/ G2/ G3,Un,"R$16,90"," R$ 49,00 ", SIM, TAG,,,,OK,5
1085,TOALHA RENDA  4 CADEIRAS,ENXOVAL,MESA,Campestre,PADRÃO,PADRÃO,Un,"R$20,90"," R$ 60,00 ", SIM, ADESIVA,,,,OK,5
1086,TOALHA RENDA REDONDA,ENXOVAL,MESA,Campestre,PADRÃO,PADRÃO,Un,"R$20,90"," R$ 60,00 ", SIM, ADESIVA,,,,OK,5
1087,TOALHA RENDA 6 CADEIRAS,ENXOVAL,MESA,Campestre,PADRÃO,PADRÃO,Un,"R$23,90"," R$ 70,00 ", SIM, ADESIVA,,,,OK,5
1088,FRONHA (PAR),ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,Par,"R$10,60"," R$ 30,00 ", SIM, TAG,,,,OK,5
1089,CALCA JEANS MASCULINA,VESTUARIO,VEST/MASC,Avila,PADRÃO,38/ 40/ 42/ 44/ 46,Un,"R$40,00"," R$ 120,00 ", SIM, TAG,,,,OK,5
1090,TAPETE IMP EMBORRACHADO,ENXOVAL,TAPETE,Campestre,PADRÃO,PADRÃO,Un,"R$13,50"," R$ 40,00 ", SIM, TAG,,,,OK,5
